ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
2724	0	1	0	0	0	0	0	0	0	0	0	0	1	1
27240	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27241	0	0	0	0	0	1	0	0	0	0	0	0	0	0
27242	1	3	1	1	1	1	1	1	1	1	1	1	2	1
27243	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27244	2	1	1	2	1	1	1	2	1	0	1	0	0	0
27245	1	1	1	1	1	1	1	1	2	1	1	1	1	2
27246	1	1	1	1	1	1	1	1	1	2	1	1	1	2
27247	0	0	1	1	1	1	1	1	1	0	0	0	0	0
27248	0	0	1	1	0	1	1	1	1	0	0	0	0	0
27249	0	0	0	0	0	0	0	0	0	1	1	0	2	2
2725	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27250	0	0	2	0	0	0	3	0	0	0	0	0	0	0
27251	1	1	0	0	0	0	0	0	0	0	0	0	0	0
27252	1	1	1	1	1	1	1	1	1	0	0	0	0	0
27253	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27254	0	1	1	1	1	1	1	1	0	1	1	1	2	1
27255	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27256	1	1	1	1	1	1	1	2	1	0	0	0	0	0
27257	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27258	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27259	0	0	1	1	0	0	0	0	0	0	0	0	0	0
2726	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27260	1	1	1	1	1	1	1	1	1	0	0	0	0	0
27261	0	0	0	0	0	0	0	0	0	0	0	0	1	0
27262	0	0	1	1	1	0	0	0	0	0	0	0	0	0
27263	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27264	1	1	1	1	1	1	1	1	1	0	0	0	0	0
27265	1	1	1	1	1	1	1	1	1	0	0	0	0	0
27266	1	1	1	1	1	2	1	1	1	1	0	1	1	1
27267	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27268	0	0	0	0	0	1	1	1	0	0	0	0	0	0
27269	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2727	1	0	1	1	1	1	1	1	1	1	1	1	2	2
27270	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27271	1	1	1	2	1	1	1	1	1	0	0	0	0	0
27272	0	0	2	2	1	1	2	0	0	0	0	0	0	0
27273	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27274	0	0	1	1	1	1	0	0	0	0	0	0	0	0
27275	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27276	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27277	0	0	0	0	0	1	0	0	0	0	0	0	0	0
27278	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27279	1	1	1	1	1	1	1	1	1	1	1	1	2	1
2728	0	0	0	1	2	0	0	1	1	0	0	0	0	0
27280	0	1	20	20	18	17	21	6	9	0	0	0	0	0
27281	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27282	1	1	0	0	0	0	0	0	0	0	0	0	0	0
27283	1	1	1	2	1	2	1	1	1	1	0	0	2	1
27284	0	0	1	1	1	0	0	0	0	0	0	0	0	0
27285	1	1	1	1	1	1	1	1	1	0	0	0	1	1
27286	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27287	0	0	0	0	0	0	0	0	0	0	1	0	0	0
27288	1	1	1	2	1	1	1	1	1	1	1	1	1	2
27289	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2729	0	0	0	0	0	0	0	0	0	1	1	0	1	1
27290	0	0	0	0	0	1	0	0	0	0	0	0	0	0
27291	1	2	1	1	1	1	1	1	1	3	1	0	1	1
27292	0	0	0	0	0	0	0	0	0	1	1	1	1	2
27293	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27294	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27295	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27296	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27297	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27298	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27299	0	0	0	1	0	0	0	0	0	0	0	0	0	0
273	2	1	1	1	1	1	1	1	1	1	1	1	1	0
2730	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27300	0	1	1	1	1	1	1	1	1	0	0	0	0	0
27301	0	0	0	0	0	0	0	0	0	2	0	1	2	1
27302	0	0	1	1	1	3	1	1	1	0	0	0	0	0
27303	1	1	1	2	1	1	1	1	1	1	2	1	1	3
27304	0	0	0	0	0	0	0	0	0	0	1	0	0	1
27305	0	0	0	0	0	0	0	0	0	0	0	1	0	0
27306	0	0	0	0	0	0	0	1	1	0	0	0	0	0
27307	1	1	1	1	1	1	1	1	1	1	0	1	1	0
27308	1	1	1	1	1	1	1	1	1	1	1	1	1	2
27309	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2731	1	1	1	1	2	1	1	1	1	1	1	1	1	1
27310	1	1	1	1	1	1	1	1	1	3	3	3	3	3
27311	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27312	0	0	0	0	0	0	0	0	0	1	0	1	1	0
27313	1	1	1	1	1	1	1	1	1	1	1	1	2	1
27314	0	0	0	0	1	0	0	0	0	0	0	0	0	0
27315	0	0	0	0	0	0	0	0	0	0	0	0	1	0
27316	1	1	1	2	18	1	1	1	1	1	0	0	1	1
27317	1	1	0	1	1	1	1	1	1	0	1	1	0	2
27318	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27319	1	1	1	1	1	1	1	1	2	1	1	1	1	0
2732	0	0	0	0	0	0	0	0	0	1	1	1	1	1
27320	0	0	0	0	0	0	0	0	1	0	0	0	0	0
27321	2	1	1	1	1	1	1	1	1	1	2	1	1	1
27322	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27323	0	0	0	0	0	0	1	0	0	0	0	0	0	0
27324	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27325	0	2	0	0	1	0	0	0	0	0	0	0	0	0
27326	0	0	1	1	1	1	1	1	1	0	0	0	0	0
27327	0	0	0	0	0	0	0	0	0	1	0	0	0	0
27328	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27329	0	0	0	0	0	0	0	0	0	0	1	1	0	1
2733	1	1	1	1	1	1	1	1	1	2	1	1	1	1
27330	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27331	0	0	0	0	0	0	0	0	0	0	0	0	3	4
27332	0	0	1	1	0	0	0	0	0	0	0	0	0	0
27333	1	1	1	1	1	1	1	1	1	1	1	1	1	2
27334	0	0	0	0	0	0	0	0	0	0	1	0	0	0
27335	0	0	0	0	0	1	0	0	0	0	0	0	0	0
