desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10634	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10635	1	1	1	1	1	1	1	1	1	1	1	1	2	0
none	10643	3	1	1	1	1	1	1	2	2	1	1	1	1	1
none	10647	1	1	1	2	1	1	1	3	2	0	0	0	1	2
none	10652	1	1	1	1	1	1	1	1	1	1	0	0	0	0
none	10653	1	0	0	0	0	0	0	0	0	1	1	1	1	1
none	10654	1	1	1	1	1	1	1	1	1	1	1	1	2	5
none	10656	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10663	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10670	1	1	1	1	1	1	2	1	1	1	1	1	1	1
none	10679	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1068	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10680	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10682	2	3	2	0	0	2	0	0	0	1	1	1	1	1
none	10688.1	1	0	1	1	1	1	1	1	1	1	2	1	1	0
none	10688.2	1	1	1	1	1	1	1	1	1	1	1	1	1	3
none	1069	1	1	1	1	1	1	1	1	1	1	0	0	1	2
none	10692	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10701	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10703	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10704	1	1	1	1	1	1	1	1	1	0	0	0	0	1
none	10706	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10707	1	0	1	1	1	1	1	1	0	1	0	1	0	0
none	10708	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10717	1	1	1	1	1	1	1	1	1	1	1	2	1	1
none	1072.1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
none	1072.2	1	0	1	1	1	1	1	1	1	3	4	3	3	4
none	10724	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10729	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1073	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10733	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10736	2	1	1	1	1	1	1	1	1	1	0	1	1	1
none	10745	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10746	1	1	1	1	1	1	1	1	1	1	1	1	1	5
none	1075	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10750	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10751	1	0	1	1	1	1	2	1	1	1	1	1	1	1
none	10755	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10756	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10759	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	1076	1	1	1	1	1	1	1	1	2	4	3	4	3	5
none	10762	1	1	1	1	1	1	1	1	1	1	1	1	1	2
