ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10920	none	1	1	1	1	1	1	1	1	1	3	3	3	3	3
10922.1	none	1	7	1	0	0	1	1	1	1	3	3	4	6	3
10922.2	none	1	1	2	2	2	2	2	2	2	1	1	1	1	1
10925	none	1	1	1	1	1	1	1	1	1	2	2	6	2	4
1093	none	1	1	1	1	1	1	1	1	1	0	1	1	1	1
10931	none	2	1	2	2	2	2	2	2	2	1	1	1	1	1
10939	none	1	1	1	1	1	1	1	1	1	1	1	1	1	5
10943	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10946	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10950.1	none	1	0	1	1	1	1	1	2	1	1	1	1	1	1
10950.2	none	2	4	1	1	1	1	1	1	1	1	1	1	2	1
10960	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10975	none	1	1	1	1	1	1	1	1	1	1	0	1	0	0
10976	none	1	1	2	2	2	2	2	2	2	1	1	1	1	4
10978	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10982	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10988	none	0	0	1	1	1	1	1	1	1	0	0	0	1	2
10991	none	1	3	1	1	1	1	1	1	1	1	1	1	1	0
10992	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10996	none	1	1	1	2	1	1	1	1	1	1	1	1	1	0
10998	none	1	3	1	1	1	1	1	1	1	1	1	1	1	2
11	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	none	8	4	7	6	6	7	10	7	7	6	6	5	11	7
11001	none	1	1	1	1	1	1	1	1	1	1	1	1	1	5
11002	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11003	none	1	1	1	1	1	1	1	1	1	1	1	2	1	3
11007	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
11008	none	1	0	1	1	1	1	1	1	1	1	1	0	1	1
11009	none	2	1	1	1	0	1	1	1	1	1	0	1	0	0
11013	none	1	2	1	1	1	3	1	1	1	1	1	1	1	1
11014	none	1	0	1	1	1	1	1	1	1	1	1	0	1	1
11020	none	3	0	0	0	0	0	0	0	0	1	2	2	0	2
11026	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
11028	none	0	0	0	0	1	0	0	1	1	0	0	1	0	3
11029	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11031	none	3	0	1	1	1	1	1	1	1	1	1	0	1	1
11034	none	1	1	1	1	1	1	1	1	1	1	3	1	1	2
11035	none	1	2	1	1	1	1	1	1	1	1	1	1	1	2
11041	none	1	1	1	0	0	1	3	0	0	1	1	1	1	1
11046.1	none	1	1	1	2	2	2	2	2	2	1	1	1	1	3
11046.2	none	0	1	0	0	0	0	0	0	0	0	0	1	1	1
11048	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1105	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
11054	none	1	1	1	1	1	2	1	1	1	1	1	1	1	1
11055	none	1	0	1	1	1	1	1	1	1	1	1	0	1	2
11058	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
11059	none	1	1	1	1	1	2	1	1	1	1	0	1	2	1
11063	none	1	1	1	1	1	1	1	1	1	1	0	2	2	2
11064	none	1	1	1	1	1	2	1	1	1	1	1	1	1	1
11066	none	1	1	0	0	0	0	0	0	0	1	0	1	1	1
11069	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11070	none	1	0	1	1	1	1	1	1	1	1	1	0	1	1
11071	none	1	1	1	1	1	1	1	1	2	1	2	1	2	2
11072	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11074	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11077	none	0	1	0	0	0	0	0	0	0	1	0	0	1	1
11079	none	2	1	1	1	1	1	1	1	1	0	1	2	1	2
11080	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11084	none	1	1	1	1	1	1	1	1	1	0	1	1	0	1
11096	none	0	1	1	0	0	0	0	0	0	1	1	0	1	1
11100	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11104	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1111	none	1	1	1	1	1	1	1	1	1	2	2	2	2	3
11111	none	1	1	1	1	1	2	1	1	1	1	1	1	1	1
11112	none	1	0	1	1	1	1	1	1	1	1	0	1	2	1
11113	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11116	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11121	none	1	1	1	1	0	1	1	1	1	1	1	0	1	1
11128	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11129	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11132	none	1	1	1	1	1	1	1	1	1	1	0	1	1	0
